method,rows,seed,compression,test_latency_seconds_median,test_latency_seconds_samples,process_peak_rss_bytes,compile.kl,compile.js,compile.agreement,compile.accuracy,compile.log_loss,compile.roc_auc,validation.kl,validation.js,validation.agreement,validation.accuracy,validation.log_loss,validation.roc_auc,test.kl,test.js,test.agreement,test.accuracy,test.log_loss,test.roc_auc,best_step,training_seconds,label_min,label_max
synthetic_random,8,44,63.375,0.12525849998928607,"[0.13392691605258733, 0.1234255830058828, 0.12525849998928607]",2284797952,2.3622303009033203,0.24296939373016357,0.6213017702102661,0.5798816568047337,3.004974365234375,0.7816306755260244,2.6609840393066406,0.2459302544593811,0.658823549747467,0.6588235294117647,2.8452327251434326,0.8120353344572093,2.5646462440490723,0.25662240386009216,0.5647059082984924,0.5764705882352941,2.951526165008545,0.7828997218059718,50.0,9.221737083978951,0.0,3.0
stratified,8,44,63.375,0.1308871249202639,"[0.13744650001171976, 0.1308871249202639, 0.12794495804701]",2284797952,1.0945905447006226,0.30540040135383606,0.40236687660217285,0.39644970414201186,1.3429867029190063,0.6913275193798449,1.1299059391021729,0.3148939311504364,0.47058823704719543,0.4470588235294118,1.3164494037628174,0.7496128524253525,1.0956794023513794,0.30544254183769226,0.43529412150382996,0.4235294117647059,1.3370246887207031,0.6875446255133755,,,,
synthetic_stratified,8,44,63.375,0.1265637920005247,"[0.13148229103535414, 0.1265637920005247, 0.12638204207178205]",2284797952,1.0026540756225586,0.28372618556022644,0.5147929191589355,0.48520710059171596,1.2556061744689941,0.7739456441491325,1.0375818014144897,0.2931915521621704,0.5764706134796143,0.5529411764705883,1.2225583791732788,0.8337415015540015,1.0208982229232788,0.2880764603614807,0.529411792755127,0.5058823529411764,1.2657980918884277,0.7798313318625818,50.0,9.858439584029838,0.0,3.0
random,32,42,15.84375,0.09987425000872463,"[0.10299820790532976, 0.09983870794530958, 0.09987425000872463]",2284797952,0.5398560762405396,0.1598663628101349,0.6863905191421509,0.6627218934911243,0.806515097618103,0.8931755260243632,0.5215344429016113,0.15531618893146515,0.7764706015586853,0.7647058823529411,0.6882268786430359,0.9291457153957153,0.5593108534812927,0.16278861463069916,0.6352941393852234,0.5882352941176471,0.8325377702713013,0.8745142877955379,,,,
synthetic_random,32,42,15.84375,0.09802266699261963,"[0.10022616595961154, 0.09802266699261963, 0.09603729203809053]",2284797952,0.08392416685819626,0.022262491285800934,0.8757396340370178,0.8165680473372781,0.3972146213054657,0.9516657438169066,0.17392033338546753,0.046258099377155304,0.8352941274642944,0.8470588235294118,0.31855398416519165,0.9657061688311688,0.2354334443807602,0.058821436017751694,0.7882353067398071,0.7176470588235294,0.5256293416023254,0.9224008977133977,50.0,10.318589375005104,0.0,3.0
stratified,32,42,15.84375,0.09956208302173764,"[0.09988487500231713, 0.09707033401355147, 0.09956208302173764]",2284797952,0.7197293043136597,0.18948706984519958,0.6213017702102661,0.6153846153846154,0.9573692679405212,0.8590831487633813,0.5466766953468323,0.15091364085674286,0.7647058963775635,0.7764705882352941,0.7085054516792297,0.9239188589188588,0.7327926158905029,0.18851689994335175,0.6470588445663452,0.6352941176470588,1.0155324935913086,0.842194610944611,,,,
synthetic_stratified,32,42,15.84375,0.09738966694567353,"[0.09738966694567353, 0.09838924999348819, 0.09699633403215557]",2284797952,0.07683706283569336,0.021346542984247208,0.88165682554245,0.8106508875739645,0.3952493667602539,0.9504083610188261,0.11464782059192657,0.032292842864990234,0.9058823585510254,0.9176470588235294,0.25279152393341064,0.9849943806193806,0.1754235029220581,0.04470665007829666,0.8117647171020508,0.7294117647058823,0.4508708417415619,0.9398485368797869,40.0,9.559614166035317,0.0,3.0
random,32,43,15.84375,0.09854504198301584,"[0.09854504198301584, 0.09950504102744162, 0.09773929207585752]",2284797952,0.6774435639381409,0.19011610746383667,0.6213017702102661,0.5798816568047337,0.9530448317527771,0.856344592100406,0.648772120475769,0.18670374155044556,0.7058823704719543,0.6941176470588235,0.823603630065918,0.92576681998557,0.7594207525253296,0.2080233097076416,0.5882353186607361,0.6,0.9875867962837219,0.8408373223998225,,,,
synthetic_random,32,43,15.84375,0.11436858307570219,"[0.10349949996452779, 0.1438094589393586, 0.11436858307570219]",2284797952,0.08462744951248169,0.023158274590969086,0.857988178730011,0.8106508875739645,0.40040841698646545,0.9481035437430786,0.12721370160579681,0.03313479945063591,0.9058823585510254,0.8941176470588236,0.2786904275417328,0.9819724372849372,0.18907524645328522,0.049066781997680664,0.8470588326454163,0.8352941176470589,0.4333190321922302,0.9536790813353313,50.0,10.173227375023998,0.0,3.0
stratified,32,43,15.84375,0.15675516601186246,"[0.15675516601186246, 0.1893575000576675, 0.14772887504659593]",2284797952,0.5132037997245789,0.13032962381839752,0.692307710647583,0.6982248520710059,0.727311372756958,0.8907876522702104,0.5483354330062866,0.13830186426639557,0.7058823704719543,0.7294117647058823,0.6750242710113525,0.9025052378177378,0.6095119714736938,0.14560049772262573,0.6352941393852234,0.5882352941176471,0.9966498613357544,0.8250583964646464,,,,
